"idPop"','"Sexe"','"annee"','"taux"','"idP"
('1TOT1964','TOT','1964','43','1')
('1TOT1966','TOT','1966','40','1')
('1TOT1969','TOT','1969','37','1')
('1TOT1974','TOT','1974','37,8','1')
('1TOT1976','TOT','1976','38,4','1')
('1TOT1980','TOT','1980','36','1')
('1TOT1983','TOT','1983','35,4','1')
('1TOT1986','TOT','1986','30,6','1')
('1TOT1989','TOT','1989','28,6','1')
('1TOT1992','TOT','1992','26','1')
('1TOT1995','TOT','1995','24,1','1')
('1TOT1998','TOT','1998','22,1','1')
('1TOT2001','TOT','2001','19,6','1')
('1TOT2004','TOT','2004','17,8','1')
('1TOT2007','TOT','2007','16,9','1')
('1TOT2010','TOT','2010','15,3','1')
('1TOT2013','TOT','2013','13','1')
('1TOT2016','TOT','2016','12,4','1')
('1TOT2019','TOT','2019','11,2','1')
('2TOT1972','TOT','1972','22,9','2')
('2TOT1979','TOT','1979','23,5','2')
('2TOT1986','TOT','1986','25,5','2')
('2TOT1997','TOT','1997','24,3','2')
('2TOT2006','TOT','2006','23,2','2')
('2TOT2014','TOT','2014','24,3','2')
('2TOT2019','TOT','2019','20,6','2')
('3TOT1997','TOT','1997','25,5','3')
('3TOT2001','TOT','2001','24,1','3')
('3TOT2004','TOT','2004','23,7','3')
('3TOT2008','TOT','2008','20,5','3')
('3TOT2013','TOT','2013','18,9','3')
('3TOT2018','TOT','2018','15,4','3')
('4TOT1964','TOT','1964','42','4')
('4TOT1965','TOT','1965','42,5','4')
('4TOT1966','TOT','1966','42,5','4')
('4TOT1967','TOT','1967','42','4')
('4TOT1968','TOT','1968','41','4')
('4TOT1969','TOT','1969','40','4')
('4TOT1970','TOT','1970','39,5','4')
('4TOT1971','TOT','1971','39,5','4')
('4TOT1972','TOT','1972','39','4')
('4TOT1979','TOT','1979','34,4','4')
('4TOT1981','TOT','1981','32,8','4')
('4TOT1983','TOT','1983','31,2','4')
('4TOT1985','TOT','1985','30,4','4')
('4TOT1986','TOT','1986','28,3','4')
('4TOT1988','TOT','1988','30,8','4')
('4TOT1989','TOT','1989','31','4')
('4TOT1990','TOT','1990','28,2','4')
('4TOT1991','TOT','1991','25,9','4')
('4TOT1994','TOT','1994','25,5','4')
('4TOT1996','TOT','1996','24,5','4')
('4TOT1998','TOT','1998','23,8','4')
('25TOT2001','TOT','2001','22,4','25')
('4TOT2003','TOT','2003','18,7','4') 
('4TOT2005','TOT','2005','17,3','4')
('4TOT2007','TOT','2007','18,2','4')
('4TOT2008','TOT','2008','17,5','4')
('4TOT2009','TOT','2009','16,2','4')
('4TOT2010','TOT','2010','16,3','4')
('4TOT2011','TOT','2011','15,7','4')
('4TOT2012','TOT','2012','16,1','4')
('4TOT2013','TOT','2013','14,9','4')
('4TOT2014','TOT','2014','14','4')
('4TOT2015','TOT','2015','13,1','4')
('4TOT2016','TOT','2016','12,5','4')
('4TOT2017','TOT','2017','12','4')
('4TOT2018','TOT','2018','11,3','4')
('4TOT2019','TOT','2019','10,3','4')
('5TOT1993','TOT','1993','26,1','5')
('5TOT1996','TOT','1996','26,2','5')
('5TOT1999','TOT','1999','23,5','5')
('5TOT2002','TOT','2002','24,1','5')
('5TOT2003','TOT','2003','27,2','5')
('5TOT2004','TOT','2004','25,4','5') 
('5TOT2005','TOT','2005','24,3','5')
('5TOT2006','TOT','2006','23,4','5')
('5TOT2007','TOT','2007','24','5')
('5TOT2008','TOT','2008','21,8','5')
('5TOT2009','TOT','2009','23,8','5')
('5TOT2010','TOT','2010','22,8','5')
('5TOT2011','TOT','2011','21,7','5')
('5TOT2012','TOT','2012','22,9','5')
('5TOT2013','TOT','2013','22,2','5')
('5TOT2014','TOT','2014','22,3','5')
('5TOT2015','TOT','2015','18,2','5')
('5TOT2016','TOT','2016','19,6','5')
('5TOT2017','TOT','2017','18,4','5')
('5TOT2018','TOT','2018','21,1','5')
('5TOT2019','TOT','2019','18,1','5')
('6TOT1970','TOT','1970','57,5','6')
('6TOT1971','TOT','1971','56','6')
('6TOT1972','TOT','1972','55','6')
('6TOT1973','TOT','1973','54,5','6')
('6TOT1974','TOT','1974','55','6')
('6TOT1975','TOT','1975','53','6')
('6TOT1976','TOT','1976','54','6')
('6TOT1977','TOT','1977','53','6')
('6TOT1978','TOT','1978','51,5','6')
('6TOT1979','TOT','1979','51','6')')
('6TOT1980','TOT','1980','50,5','6')
('6TOT1981','TOT','1981','49','6')
('6TOT1982','TOT','1982','48','6')
('6TOT1983','TOT','1983','48,5','6')
('6TOT1984','TOT','1984','47','6')
('6TOT1985','TOT','1985','46,5','6')
('6TOT1986','TOT','1986','49','6')
('6TOT1987','TOT','1987','46','6')
('6TOT1988','TOT','1988','44,5','6')
('6TOT1989','TOT','1989','44','6')
('6TOT1990','TOT','1990','44,5','6')
('6TOT1991','TOT','1991','44','6')
('6TOT1992','TOT','1992','42,5','6')
('6TOT1993','TOT','1993','42','6')
('6TOT1994','TOT','1994','37','6')
('6TOT1995','TOT','1995','35,5','6')
('6TOT1996','TOT','1996','34','6')
('6TOT1997','TOT','1997','32','6')
('6TOT1998','TOT','1998','31','6')
('6TOT1999','TOT','1999','31','6')
('6TOT2000','TOT','2000','30,5','6')
('6TOT2001','TOT','2001','29,5','6')
('6TOT2002','TOT','2002','28','6')
('6TOT2003','TOT','2003','28','6')
('6TOT2004','TOT','2004','26','6')
('6TOT2005','TOT','2005','26','6')
('6TOT2006','TOT','2006','25','6')
('6TOT2007','TOT','2007','24','6')
('6TOT2008','TOT','2008','23','6')
('6TOT2009','TOT','2009','19','6')
('6TOT2010','TOT','2010','20,9','6')
('6TOT2013','TOT','2013','17','6')
('6TOT2017','TOT','2017','16,9','6')
('7TOT1978','TOT','1978','26,6','7')
('7TOT1979','TOT','1979','27,2','7')
('7TOT1980','TOT','1980','26,1','7')
('7TOT1981','TOT','1981','27,2','7')
('7TOT1982','TOT','1982','24,4','7')
('7TOT1983','TOT','1983','24,9','7')
('7TOT1984','TOT','1984','24,6','7')
('7TOT1985','TOT','1985','22,8','7')
('7TOT1986','TOT','1986','25,1','7')
('7TOT1987','TOT','1987','26,7','7')
('7TOT1988','TOT','1988','26,7','7')
('7TOT1989','TOT','1989','25,9','7')
('7TOT1990','TOT','1990','25,9','7')
('7TOT1991','TOT','1991','27','7')
('7TOT1992','TOT','1992','26','7')
('7TOT1993','TOT','1993','23,9','7')
('7TOT1994','TOT','1994','22,7','7')
('7TOT1995','TOT','1995','24','7')
('7TOT1996','TOT','1996','22,4','7')
('7TOT1997','TOT','1997','24,1','7')
('7TOT1998','TOT','1998','25,1','7')
('7TOT1999','TOT','1999','23,2','7')
('7TOT2000','TOT','2000','23,4','7')
('7TOT2001','TOT','2001','23,8','7')
('7TOT2002','TOT','2002','23,4','7') 
('7TOT2003','TOT','2003','22,2','7')
('7TOT2004','TOT','2004','23','7')
('7TOT2005','TOT','2005','21,8','7')
('7TOT2006','TOT','2006','21,4','7')
('7TOT2007','TOT','2007','20,6','7')
('7TOT2008','TOT','2008','20,4','7')
('7TOT2009','TOT','2009','18,6','7')
('7TOT2010','TOT','2010','19','7')
('7TOT2011','TOT','2011','17,8','7')
('7TOT2012','TOT','2012','17','7')
('7TOT2013','TOT','2013','15,8','7')
('7TOT2014','TOT','2014','15,4','7')
('7TOT2015','TOT','2015','17,4','7')
('7TOT2016','TOT','2016','15','7')
('7TOT2017','TOT','2017','13','7')
('7TOT2018','TOT','2018','14','7')
('7TOT2019','TOT','2019','13','7')
('7TOT2020','TOT','2020','12','7')
('8TOT1960','TOT','1960','32','8')
('8TOT1965','TOT','1965','25','8')
('8TOT1967','TOT','1967','26','8')
('8TOT1988','TOT','1988','27','8')
('8TOT1989','TOT','1989','28','8')
('8TOT1990','TOT','1990','31','8')
('8TOT1991','TOT','1991','31','8')
('8TOT1992','TOT','1992','29','8')
('8TOT1993','TOT','1993','29','8')
('8TOT1994','TOT','1994','28','8')
('8TOT1995','TOT','1995','29','8')
('8TOT1996','TOT','1996','24','8')
('8TOT1997','TOT','1997','28','8')
('8TOT1998','TOT','1998','28','8')
('8TOT1999','TOT','1999','28','8')
('8TOT2000','TOT','2000','30','8')
('8TOT2005','TOT','2005','27,5','8')
('8TOT2010','TOT','2010','29,7','8')
('8TOT2014','TOT','2014','28,5','8')
('8TOT2015','TOT','2015','29,4','8')
('8TOT2016','TOT','2016','29,4','8')
('8TOT2017','TOT','2017','26,9','8')
('8TOT2018','TOT','2018','25,4','8')
('8TOT2019','TOT','2019','24','8')
('9TOT1978','TOT','1978','28,5','9')
('9TOT1989','TOT','1989','25,1','9')
('9TOT1992','TOT','1992','24,8','9')
('9TOT1995','TOT','1995','24,3','9')
('9TOT1999','TOT','1999','24,7','9')
('9TOT2003','TOT','2003','24,3','9')
('9TOT2005','TOT','2005','23,2','9')
('9TOT2009','TOT','2009','21,9','9')
('9TOT2013','TOT','2013','20,9','9')
('9TOT2017','TOT','2017','18,8','9')
('10TOT1998','TOT','1998','37,6','10')
('10TOT2000','TOT','2000','35','10')
('10TOT2004','TOT','2004','38,6','10')
('10TOT2006','TOT','2006','40','10')
('10TOT2008','TOT','2008','39,7','10')
('10TOT2009','TOT','2009','31,9','10')
('10TOT2014','TOT','2014','27,3','10')
('10TOT2019','TOT','2019','24,9','10')
('11TOT1994','TOT','1994','35,5','11')
('11TOT2000','TOT','2000','30,2','11')
('11TOT2003','TOT','2003','30,4','11')
('11TOT2009','TOT','2009','26,5','11')
('11TOT2014','TOT','2014','25,8','11')
('11TOT2019','TOT','2019','24,9','11')
('12TOT1987','TOT','1987','33','12')
('12TOT1988','TOT','1988','32,5','12')
('12TOT1989','TOT','1989','31,9','12')
('12TOT1990','TOT','1990','30,2','12')
('12TOT1991','TOT','1991','29,8','12')
('12TOT1992','TOT','1992','28,3','12')
('12TOT1993','TOT','1993','26,2','12')
('12TOT1994','TOT','1994','26,4','12')
('12TOT1995','TOT','1995','26,5','12')
('12TOT1996','TOT','1996','27,4','12')
('12TOT1997','TOT','1997','26,8','12')
('12TOT1998','TOT','1998','24,6','12')
('12TOT1999','TOT','1999','25','12')
('12TOT2000','TOT','2000','22,4','12')
('12TOT2001','TOT','2001','22,9','12')
('12TOT2002','TOT','2002','21,1','12')
('12TOT2003','TOT','2003','21,9','12')
('12TOT2004','TOT','2004','19,8','12')
('12TOT2005','TOT','2005','19,2','12')
('12TOT2006','TOT','2006','18,8','12')
('12TOT2007','TOT','2007','19','12')
('12TOT2008','TOT','2008','17,6','12')
('12TOT2009','TOT','2009','15,4','12')
('12TOT2010','TOT','2010','14,2','12')
('12TOT2011','TOT','2011','14,3','12')
('12TOT2012','TOT','2012','13,8','12')
('12TOT2013','TOT','2013','11,4','12')
('12TOT2014','TOT','2014','12,6','12')
('12TOT2015','TOT','2015','10,9','12')
('12TOT2016','TOT','2016','10,2','12')
('12TOT2017','TOT','2017','9,4','12')
('12TOT2018','TOT','2018','8,6','12')
('12TOT2019','TOT','2019','8,2','12')
('12TOT2020','TOT','2020','7,3','12')
('13TOT1973','TOT','1973','45,6','13')
('13TOT1985','TOT','1985','34,5','13')
('13TOT1986','TOT','1986','31,5','13')
('13TOT1987','TOT','1987','30,5','13')
('13TOT1988','TOT','1988','28,5','13')
('13TOT1989','TOT','1989','29,5','13')
('13TOT1990','TOT','1990','30','13')
('13TOT1991','TOT','1991','28,5','13')
('13TOT1992','TOT','1992','30','13')
('13TOT1993','TOT','1993','28,5','13')
('13TOT1994','TOT','1994','28','13')
('13TOT1998','TOT','1998','33','13')
('13TOT2002','TOT','2002','27','13')
('13TOT2007','TOT','2007','24','13')
('13TOT2015','TOT','2015','19','13')
('13TOT2016','TOT','2016','19','13')
('13TOT2017','TOT','2017','18','13')
('13TOT2018','TOT','2018','17','13')
('13TOT2019','TOT','2019','14','13')
('14TOT1980','TOT','1980','35,5','14')
('14TOT1983','TOT','1983','31,7','14')
('14TOT1986','TOT','1986','29,1','14')
('14TOT1990','TOT','1990','27,8','14')
('14TOT1993','TOT','1993','25,7','14')
('14TOT1994','TOT','1994','25,4','14')
('14TOT1995','TOT','1995','25,6','14')
('14TOT1996','TOT','1996','26,4','14')
('14TOT1997','TOT','1997','25,2','14')
('14TOT1998','TOT','1998','24,7','14')
('14TOT1999','TOT','1999','24,7','14')
('14TOT2000','TOT','2000','24,4','14')
('14TOT2001','TOT','2001','24,1','14')
('14TOT2002','TOT','2002','24','14')
('14TOT2003','TOT','2003','24,2','14')
('14TOT2005','TOT','2005','22,3','14')
('14TOT2006','TOT','2006','23','14')
('14TOT2007','TOT','2007','22,4','14')
('14TOT2008','TOT','2008','22,4','14')
('14TOT2009','TOT','2009','23,3','14')
('14TOT2010','TOT','2010','23,1','14')
('14TOT2011','TOT','2011','22,5','14')
('14TOT2012','TOT','2012','22,1','14')
('14TOT2013','TOT','2013','21,1','14')
('14TOT2014','TOT','2014','19,7','14')
('14TOT2015','TOT','2015','19,8','14')
('14TOT2016','TOT','2016','20','14')
('14TOT2017','TOT','2017','19,9','14')
('14TOT2018','TOT','2018','19,2','14')
('14TOT2019','TOT','2019','18,6','14')
('15TOT1965','TOT','1965','49','15')
('15TOT1966','TOT','1966','50,9','15')
('15TOT1967','TOT','1967','50','15')
('15TOT1968','TOT','1968','47','15')
('15TOT1969','TOT','1969','47,3','15')
('15TOT1970','TOT','1970','46,6','15')
('15TOT1971','TOT','1971','46,1','15')
('15TOT1972','TOT','1972','46,6','15')
('15TOT1973','TOT','1973','46,7','15')
('15TOT1974','TOT','1974','47,8','15')
('15TOT1975','TOT','1975','45,7','15')
('15TOT1976','TOT','1976','45,3','15')
('15TOT1977','TOT','1977','45,1','15')
('15TOT1978','TOT','1978','45,5','15')
('15TOT1979','TOT','1979','44,3','15')
('15TOT1980','TOT','1980','42,3','15')
('15TOT1981','TOT','1981','43,1','15')
('15TOT1982','TOT','1982','42,8','15')
('15TOT1983','TOT','1983','39,8','15')
('15TOT1984','TOT','1984','39,8','15')
('15TOT1985','TOT','1985','39,2','15')
('15TOT1986','TOT','1986','37,6','15')
('15TOT1987','TOT','1987','37,5','15')
('15TOT1988','TOT','1988','37,2','15')
('15TOT1989','TOT','1989','28,7','15')
('15TOT1990','TOT','1990','28,5','15')
('15TOT1991','TOT','1991','27,8','15')
('15TOT1992','TOT','1992','27,1','15')
('15TOT1993','TOT','1993','24,7','15')
('15TOT1994','TOT','1994','24,5','15')
('15TOT1995','TOT','1995','28,2','15')
('15TOT1996','TOT','1996','27,1','15')
('15TOT1997','TOT','1997','28,7','15')
('15TOT1998','TOT','1998','27,6','15')
('15TOT1999','TOT','1999','26,2','15')
('15TOT2000','TOT','2000','27','15')
('15TOT2001','TOT','2001','24,4','15')
('15TOT2002','TOT','2002','24','15')
('15TOT2003','TOT','2003','27,7','15')
('15TOT2004','TOT','2004','26,4','15')
('15TOT2005','TOT','2005','24,2','15')
('15TOT2006','TOT','2006','23,8','15')
('15TOT2007','TOT','2007','24,1','15')
('15TOT2008','TOT','2008','21,8','15')
('15TOT2009','TOT','2009','23,4','15')
('15TOT2010','TOT','2010','19,5','15')
('15TOT2011','TOT','2011','20,1','15')
('15TOT2012','TOT','2012','20,7','15')
('15TOT2013','TOT','2013','19,3','15')
('15TOT2014','TOT','2014','19,6','15')
('15TOT2015','TOT','2015','18,2','15')
('15TOT2016','TOT','2016','18,3','15')
('15TOT2017','TOT','2017','17,7','15')
('15TOT2018','TOT','2018','17,8','15')
('15TOT2019','TOT','2019','16,7','15')
('16TOT1989','TOT','1989','34,6','16')
('16TOT1992','TOT','1992','34,7','16')
('16TOT1995','TOT','1995','35,2','16')
('16TOT1998','TOT','1998','30,7','16')
('16TOT2001','TOT','2001','26,1','16')
('16TOT2005','TOT','2005','25,9','16')
('16TOT2007','TOT','2007','24','16')
('16TOT2008','TOT','2008','26,3','16')
('16TOT2009','TOT','2009','25,6','16')
('16TOT2010','TOT','2010','22,9','16')
('16TOT2011','TOT','2011','23,2','16')
('16TOT2012','TOT','2012','21,6','16')
('16TOT2013','TOT','2013','19,9','16')
('16TOT2014','TOT','2014','20','16')
('16TOT2015','TOT','2015','17,3','16')
('16TOT2016','TOT','2016','18,4','16')
('16TOT2017','TOT','2017','17,5','16')
('16TOT2018','TOT','2018','17,5','16')
('16TOT2019','TOT','2019','16,4','16')
('17TOT2001','TOT','2001','26','17')
('17TOT2002','TOT','2002','26','17')
('17TOT2003','TOT','2003','28','17')
('17TOT2004','TOT','2004','27','17')
('17TOT2005','TOT','2005','23','17')
('17TOT2006','TOT','2006','21','17')
('17TOT2007','TOT','2007','21','17')
('17TOT2008','TOT','2008','20','17')
('17TOT2009','TOT','2009','19','17')
('17TOT2010','TOT','2010','18,3','17')
('17TOT2011','TOT','2011','16,9','17')
('17TOT2012','TOT','2012','16,8','17')
('17TOT2013','TOT','2013','15,7','17')
('17TOT2014','TOT','2014','15,3','17')
('17TOT2015','TOT','2015','15','17')
('17TOT2016','TOT','2016','14,9','17')
('17TOT2017','TOT','2017','16','17')
('17TOT2018','TOT','2018','14,5','17')
('17TOT2019','TOT','2019','16,8','17')
('17TOT2020','TOT','2020','16,9','17')
('18TOT2000','TOT','2000','12,4','18')
('18TOT2002','TOT','2002','14,6','18')
('18TOT2006','TOT','2006','13','18')
('18TOT2008','TOT','2008','10,8','18')
('18TOT2009','TOT','2009','7,6','18')
('18TOT2011','TOT','2011','10,3','18')
('18TOT2012','TOT','2012','11,8','18')
('18TOT2015','TOT','2015','7,6','18')
('18TOT2017','TOT','2017','7,6','18')
('19TOT1966','TOT','1966','61','19')
('19TOT1967','TOT','1967','60','19')
('19TOT1970','TOT','1970','59','19')
('19TOT1971','TOT','1971','55','19')
('19TOT1975','TOT','1975','53','19')
('19TOT1978','TOT','1978','48','19')
('19TOT1979','TOT','1979','45','19')
('19TOT1980','TOT','1980','43','19')
('19TOT1981','TOT','1981','42','19')
('19TOT1982','TOT','1982','37','19')
('19TOT1983','TOT','1983','42','19')
('19TOT1984','TOT','1984','39','19')
('19TOT1985','TOT','1985','39','19')
('19TOT1986','TOT','1986','38','19')
('19TOT1987','TOT','1987','37','19')
('19TOT1988','TOT','1988','33','19')
('19TOT1989','TOT','1989','33','19')
('19TOT1990','TOT','1990','37','19')
('19TOT1991','TOT','1991','38','19')
('19TOT1992','TOT','1992','37','19')
('19TOT1993','TOT','1993','36','19')
('19TOT1994','TOT','1994','37','19')
('19TOT1995','TOT','1995','36','19')
('19TOT1996','TOT','1996','36','19')
('19TOT1997','TOT','1997','36','19')
('19TOT1998','TOT','1998','35','19')
('19TOT1999','TOT','1999','34','19')
('19TOT2000','TOT','2000','32','19')
('19TOT2001','TOT','2001','28,8','19')
('19TOT2002','TOT','2002','27,6','19')
('19TOT2003','TOT','2003','26,7','19')
('19TOT2004','TOT','2004','25,4','19')
('19TOT2005','TOT','2005','25,2','19')
('19TOT2006','TOT','2006','25,2','19')
('19TOT2007','TOT','2007','23,1','19')
('19TOT2008','TOT','2008','23,3','19')
('19TOT2009','TOT','2009','22,6','19')
('19TOT2010','TOT','2010','20,9','19')
('19TOT2011','TOT','2011','20,8','19')
('19TOT2012','TOT','2012','18,4','19')
('19TOT2013','TOT','2013','18,5','19')
('19TOT2014','TOT','2014','19,1','19')
('19TOT2015','TOT','2015','19','19')
('19TOT2016','TOT','2016','18','19')
('19TOT2017','TOT','2017','16,8','19')
('19TOT2018','TOT','2018','15,5','19')
('19TOT2019','TOT','2019','15,4','19')
('20TOT1976','TOT','1976','36','20')
('20TOT1981','TOT','1981','32','20')
('20TOT1983','TOT','1983','33','20')
('20TOT1984','TOT','1984','32','20')
('20TOT1985','TOT','1985','30','20')
('20TOT1986','TOT','1986','30','20')
('20TOT1987','TOT','1987','30','20')
('20TOT1988','TOT','1988','29','20')
('20TOT1989','TOT','1989','27','20')
('20TOT1990','TOT','1990','28','20')
('20TOT1991','TOT','1991','26','20')
('20TOT1992','TOT','1992','27','20')
('20TOT1993','TOT','1993','27','20')
('20TOT1994','TOT','1994','27','20')
('20TOT1995','TOT','1995','27','20')
('20TOT1996','TOT','1996','26','20')
('20TOT1997','TOT','1997','26','20')
('20TOT1998','TOT','1998','25','20')
('20TOT1999','TOT','1999','26','20')
('20TOT2000','TOT','2000','25','20')
('20TOT2001','TOT','2001','25','20')
('20TOT2002','TOT','2002','25','20')
('20TOT2003','TOT','2003','23','20')
('20TOT2004','TOT','2004','22','20')
('20TOT2005','TOT','2005','22,5','20')
('20TOT2006','TOT','2006','20,7','20')
('20TOT2007','TOT','2007','18,1','20')
('20TOT2012','TOT','2012','16,3','20')
('20TOT2013','TOT','2013','15,6','20')
('20TOT2014','TOT','2014','15,7','20')
('20TOT2015','TOT','2015','15','20')
('20TOT2016','TOT','2016','14,2','20')
('20TOT2017','TOT','2017','13,8','20')
('20TOT2018','TOT','2018','13,1','20')
('20TOT2019','TOT','2019','12,5','20')
('20TOT2020','TOT','2020','11,6','20')
('21TOT1973','TOT','1973','41','21')
('21TOT1974','TOT','1974','42','21')
('21TOT1975','TOT','1975','40','21')
('21TOT1976','TOT','1976','40','21')
('21TOT1977','TOT','1977','37','21')
('21TOT1978','TOT','1978','38','21')
('21TOT1979','TOT','1979','38','21')
('21TOT1980','TOT','1980','36','21')
('21TOT1981','TOT','1981','35','21')
('21TOT1982','TOT','1982','37','21')
('21TOT1983','TOT','1983','37','21')
('21TOT1984','TOT','1984','38','21')
('21TOT1985','TOT','1985','37','21')
('21TOT1986','TOT','1986','35','21')
('21TOT1987','TOT','1987','36','21')
('21TOT1988','TOT','1988','38','21')
('21TOT1989','TOT','1989','36','21')
('21TOT1990','TOT','1990','35','21')
('21TOT1991','TOT','1991','34','21')
('21TOT1992','TOT','1992','35','21')
('21TOT1993','TOT','1993','37','21')
('21TOT1994','TOT','1994','33','21')
('21TOT1995','TOT','1995','33','21')
('21TOT1996','TOT','1996','33','21')
('21TOT1997','TOT','1997','34','21')
('21TOT1998','TOT','1998','33','21')
('21TOT1999','TOT','1999','32','21')
('21TOT2000','TOT','2000','32','21')
('21TOT2001','TOT','2001','30','21')
('21TOT2002','TOT','2002','29','21')
('21TOT2003','TOT','2003','26','21')
('21TOT2004','TOT','2004','26','21')
('21TOT2005','TOT','2005','25','21')
